35L153B00-2,PO,SGR,1165,0.9,135,culenb8r1
35L153B00-3,PO,SGR,1165,0.9,135,culenb8r1
48A020D00-1,PO,SGR,1109,0.9,135,culenb8r1
48A020D00-2,PO,SGR,1109,0.9,135,culenb8r1
48A020D00-3,PO,SGR,1109,0.9,135,culenb8r1
35L153A00-1,PO,SGR,1162,0.9,135,culenb8r1
36L847B10-2,PO,SGR,1185,0.9,1090,culenb8r1
36L847B10-1,PO,SGR,1185,0.9,1090,culenb8r1
36L847B10-3,PO,SGR,1185,0.9,1090,culenb8r1
35L153A00-3,PO,SGR,1162,0.9,135,culenb8r1
35L153A00-2,PO,SGR,1162,0.9,135,culenb8r1
44B503A00-2,PO,RIV,1182,0.9,135,culenb8r1
44B503A00-3,PO,RIV,1182,0.9,135,culenb8r1
44B503A00-4,PO,RIV,1182,0.9,135,culenb8r1
44B503D00-2,PO,RIV,1239,0.9,135,culenb8r1
36L846C00-1,PO,RIV,1140,0.9,135,culenb8r1
44B503A00-1,PO,RIV,1182,0.9,135,culenb8r1
36L846C00-2,PO,RIV,1140,0.9,135,culenb8r1
19A077D00-2,PO,RIV,970,0.9,135,culenb8r1
19A077D00-1,PO,RIV,970,0.9,135,culenb8r1
0CA190B00-1,PO,RIV,1162,0.9,135,culenb8r1
49L731A10-1,PO,BEI,976,0.9,135,culenb8r1
49L731A10-2,PO,BEI,976,0.9,135,culenb8r1
49L731A10-3,PO,BEI,976,0.9,135,culenb8r1
49L31B10-2,PO,BEI,959,0.9,135,culenb8r1
31RD75A00-1,PO,BEI,1256,0.9,135,culenb8r1
49L31B10-3,PO,BEI,959,0.9,135,culenb8r1
33B331A00-2,PO,BEI,1142,0.9,135,culenb8r1
33B331A00-1,PO,BEI,1142,0.9,135,culenb8r1
33B331A00-3,PO,BEI,1142,0.9,135,culenb8r1
33B331A00-4,PO,BEI,1142,0.9,1090,culenb8r1
17L341A00-2,PO,BEI,758,0.9,135,culenb8r1
17L341A00-1,PO,BEI,758,0.9,135,culenb8r1
17L340C00-1,PO,BEI,1003,0.9,135,culenb8r1
44B501C00-2,PO,MGR,1155,0.9,135,culenb8r1
44B502B30-1,PO,MGR,1069,0.9,1090,culenb8r1
44B502B30-2,PO,MGR,1069,0.9,1090,culenb8r1
44B502B10-1,PO,MGR,1118,0.9,135,culenb8r1
44B502B10-2,PO,MGR,1118,0.9,135,culenb8r1
44B502B20-1,PO,MGR,1116,0.9,135,culenb8r1
44B502B20-2,PO,MGR,1116,0.9,135,culenb8r1
32R558A20-1,PO,MGR,810,0.9,135,culenb8r1
32R558A20-2,PO,MGR,810,0.9,135,culenb8r1
32R558A20-3,PO,MGR,810,0.9,135,culenb8r1
31RE79B00-1,unknown,MGR,1229,0.9,135,culenb8r1
32R558A20-4,PO,MGR,810,0.9,135,culenb8r1
49B617B10-4,PO,OWH,955,0.9,135,culenb8r1
45A228B00-2,PO,MER,1152,0.9,135,culenb8r1
45A228B00-1,PO,MER,1152,0.9,135,culenb8r1
45A228B00-3,PO,MER,1152,0.9,135,culenb8r1
45A228B00-4,PO,MER,1152,0.9,135,culenb8r1
